code,name,nav_date,nav,acc_nav,day_change,week_change,month_change,three_month_change,six_month_change,year_change
240013,华宝增强收益债券B,2026-04-27,1.7612,2.1412,0.64,0.42,7.86,-0.69,12.62,38.85
001045,华夏可转债增强债券A,2026-04-27,1.9541,1.9541,1.37,2.07,11.14,-3.44,12.44,45.83
012887,华夏可转债增强债券C,2026-04-27,1.9282,1.9282,1.37,2.06,11.1,-3.53,12.22,45.25
005461,南方希元可转债债券A,2026-04-27,1.9667,1.9667,0.69,0.53,6.34,-2.3,11.67,36.74
024077,南方希元可转债债券D,2026-04-27,1.9668,1.9668,0.69,0.53,6.34,-2.3,11.67,27.19
003510,长盛可转债债券A,2026-04-27,1.2909,1.7272,0.34,0.31,5.23,-0.84,11.61,29.1
003511,长盛可转债债券C,2026-04-27,1.2888,1.7233,0.34,0.3,5.2,-0.92,11.44,28.71
003458,嘉实稳宏债券A,2026-04-27,1.8958,1.8958,0.02,-0.09,5.42,-3.85,11.18,35.18
024213,嘉实稳宏债券D,2026-04-27,1.8961,1.8961,0.02,-0.09,5.42,-3.85,11.18,0.0
003459,嘉实稳宏债券C,2026-04-27,1.8378,1.8378,0.01,-0.09,5.39,-3.93,10.98,34.72
690002,民生增强收益债券A,2026-04-27,2.1367,2.8617,0.43,-0.45,4.84,-4.0,10.95,41.22
005273,华商可转债债券A,2026-04-27,2.1661,2.1661,1.91,2.12,9.58,-3.62,10.81,37.99
000297,鹏华可转债债券A,2026-04-27,1.9498,2.0068,-0.05,-0.12,6.92,-3.58,10.75,39.39
022156,鹏华可转债债券D,2026-04-27,1.6732,1.6732,-0.05,-0.13,6.92,-3.58,10.74,39.4
690202,民生增强收益债券C,2026-04-27,2.0621,2.7321,0.43,-0.45,4.81,-4.09,10.73,40.66
007032,平安可转债债券A,2026-04-27,1.4391,1.4391,0.54,-0.07,4.19,-3.64,10.64,30.11
010964,鹏华可转债债券C,2026-04-27,1.4708,1.4708,-0.05,-0.13,6.91,-3.63,10.63,39.11
005284,华商可转债债券C,2026-04-27,2.1044,2.1044,1.9,2.12,9.54,-3.72,10.59,37.43
530020,建信转债增强债券A,2026-04-27,3.948,3.948,0.48,0.23,5.9,-1.5,10.56,29.44
007033,平安可转债债券C,2026-04-27,1.4011,1.4011,0.54,-0.08,4.16,-3.74,10.42,29.58
