code,name,nav_date,nav,acc_nav,day_change,week_change,month_change,three_month_change,six_month_change,year_change
015896,天弘中证细分化工产业主题ETF联接A,2026-04-27,0.9975,0.9975,0.51,3.14,4.92,1.91,29.44,64.71
020273,富国中证细分化工产业主题ETF发起式联接A,2026-04-27,1.5895,1.5895,0.52,3.18,4.97,2.05,29.44,63.63
013528,嘉实中证细分化工产业主题ETF发起联接C,2026-04-27,1.1106,1.1106,0.52,3.19,4.95,2.03,29.43,63.93
020274,富国中证细分化工产业主题ETF发起式联接C,2026-04-27,1.5823,1.5823,0.53,3.18,4.96,2.0,29.32,63.33
015897,天弘中证细分化工产业主题ETF联接C,2026-04-27,0.9899,0.9899,0.52,3.15,4.91,1.86,29.31,64.38
019589,东财中证化工指数发起式A,2026-04-27,1.5413,1.5413,0.52,3.04,4.76,1.71,29.24,63.27
020405,国泰中证油气产业ETF发起联接A,2026-04-27,1.4942,1.4942,-0.05,0.21,-0.59,7.0,29.04,47.82
019590,东财中证化工指数发起式C,2026-04-27,1.5277,1.5277,0.51,3.04,4.73,1.61,28.99,62.64
020406,国泰中证油气产业ETF发起联接C,2026-04-27,1.4874,1.4874,-0.05,0.21,-0.6,6.95,28.92,47.53
014942,鹏华中证细分化工产业主题ETF联接A,2026-04-27,1.0347,1.0347,0.51,3.02,4.71,1.66,28.74,61.95
014943,鹏华中证细分化工产业主题ETF联接C,2026-04-27,1.0219,1.0219,0.51,3.0,4.67,1.58,28.54,61.46
019087,工银中证稀有金属主题ETF发起式联接A,2026-04-27,2.0488,2.0488,-0.48,-0.96,8.79,1.12,28.31,119.19
012537,华宝中证细分化工产业主题ETF联接A,2026-04-27,0.9075,0.9075,0.51,3.07,4.74,1.19,28.27,61.25
019088,工银中证稀有金属主题ETF发起式联接C,2026-04-27,2.0433,2.0433,-0.48,-0.96,8.78,1.1,28.24,118.98
012538,华宝中证细分化工产业主题ETF联接C,2026-04-27,0.8989,0.8989,0.51,3.07,4.74,1.15,28.14,60.95
020104,易方达石油化工ETF联接A,2026-04-27,1.6116,1.6116,-0.07,1.92,1.88,1.34,28.09,54.98
014110,嘉实中证稀有金属主题ETF发起联接A,2026-04-27,1.129,1.129,-0.47,-1.05,8.67,1.16,27.95,119.18
020105,易方达石油化工ETF联接C,2026-04-27,1.6008,1.6008,-0.07,1.92,1.86,1.27,27.91,54.52
014111,嘉实中证稀有金属主题ETF发起联接C,2026-04-27,1.1167,1.1167,-0.46,-1.06,8.65,1.1,27.77,118.62
020704,南方中证通信服务ETF发起联接A,2026-04-27,2.4626,2.4626,-0.11,-1.56,15.51,14.03,27.46,122.08
020705,南方中证通信服务ETF发起联接C,2026-04-27,2.453,2.453,-0.12,-1.56,15.49,13.97,27.33,121.63
021822,景顺长城国证石油天然气ETF发起式联接基金A,2026-04-27,1.429,1.429,0.2,0.89,-1.8,8.64,27.2,47.27
017855,华夏中证石化产业ETF发起式联接A,2026-04-27,1.2939,1.2939,-0.08,1.76,1.66,0.27,27.15,52.37
021823,景顺长城国证石油天然气ETF发起式联接基金C,2026-04-27,1.4239,1.4239,0.2,0.89,-1.81,8.59,27.08,46.99
023111,景顺长城上证科创板200指数A,2026-04-27,1.2639,1.2639,1.71,2.1,12.92,3.95,27.0,0.0
017856,华夏中证石化产业ETF发起式联接C,2026-04-27,1.2818,1.2818,-0.08,1.75,1.63,0.2,26.97,51.93
023112,景顺长城上证科创板200指数C,2026-04-27,1.2622,1.2622,1.72,2.09,12.9,3.89,26.88,0.0
