序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
91,008087,华夏中证5G通信主题ETF联接C,2026-04-27,2.8189,2.8189,1.68,3.11,26.63,25.0,31.44,186.27,202.23,209.87,30.41,181.89,189.7718,0.00%
92,017234,永赢睿恒混合A,2026-04-27,2.7397,2.7397,-0.1,1.43,15.91,9.24,28.7,185.47,,,24.99,173.97,186.0409,1.50%
93,009243,中加核心智造混合C,2026-04-27,3.12,3.18,-0.27,1.46,25.03,39.64,46.87,185.4,162.25,137.61,45.94,227.5,186.2911,0.00%
94,015096,东财数字经济混合发起式A,2026-04-27,2.5129,2.5129,0.85,1.47,32.04,31.19,28.24,184.88,159.81,128.61,30.39,151.29,186.1747,0.15%
95,023452,中欧信息科技混合发起C,2026-04-27,2.6999,2.6999,1.73,1.87,25.98,31.07,29.69,184.71,,,34.06,169.99,184.9499,0.00%
96,009062,财通智慧成长混合A,2026-04-27,2.8335,2.8335,0.54,5.56,25.09,15.88,34.25,184.66,162.95,136.32,29.09,183.35,181.4083,0.15%
97,020661,中加科技创新混合发起式A,2026-04-27,2.7112,2.7112,0.84,-1.56,24.83,17.44,34.31,183.95,199.28,,29.73,171.12,184.8198,0.15%
98,022368,永赢睿恒混合C,2026-04-27,2.718,2.718,-0.11,1.42,15.85,9.07,28.31,183.86,,,24.75,171.8,184.4286,0.00%
99,290008,泰信发展主题混合,2026-04-27,2.84,3.279,1.83,5.77,17.07,34.03,80.66,183.72,168.18,56.91,42.07,285.5,186.5792,0.15%
100,008889,银华中证5G通信主题ETF联接A,2026-04-27,2.2076,2.2076,1.62,3.02,26.53,24.33,30.63,183.03,199.38,208.02,29.4,120.76,186.4037,0.12%
101,015097,东财数字经济混合发起式C,2026-04-27,2.4318,2.4318,0.85,1.46,31.96,30.93,27.72,182.6,155.79,123.29,30.06,143.18,183.9229,0.00%
102,018287,信澳优势产业混合A,2026-04-27,3.328,3.328,0.64,1.41,35.86,24.25,48.02,182.54,280.26,,34.06,232.8,182.7287,0.15%
103,009063,财通智慧成长混合C,2026-04-27,2.6994,2.6994,0.53,5.54,25.0,15.66,33.72,182.36,158.79,130.72,28.77,169.94,179.152,0.00%
104,020662,中加科技创新混合发起式C,2026-04-27,2.6798,2.6798,0.84,-1.58,24.77,17.27,33.94,182.29,196.05,,29.51,167.98,183.1572,0.00%
105,010524,银华中证5G通信主题ETF联接C,2026-04-27,2.1735,2.1735,1.62,3.01,26.5,24.24,30.45,182.2,197.62,205.27,29.27,136.4,185.5735,0.00%
106,018288,信澳优势产业混合C,2026-04-27,3.2698,3.2698,0.64,1.4,35.78,24.07,47.57,180.81,275.67,,33.8,226.98,181.0314,0.00%
107,000411,景顺长城优质成长股票A,2026-04-27,4.047,4.6,1.45,1.84,25.06,27.34,43.82,180.65,216.17,218.58,35.62,502.15,180.2632,0.15%
108,257070,国联安优选行业混合,2026-04-27,5.4165,5.7175,3.18,3.89,30.51,28.43,34.28,180.04,157.52,98.96,33.3,567.38,179.1435,0.15%
109,021500,景顺长城优质成长股票C,2026-04-27,4.018,4.018,1.44,1.82,25.02,27.23,43.55,179.42,,,35.42,221.18,179.2217,0.00%
110,013721,信澳景气优选混合A,2026-04-27,2.4091,2.4091,0.7,1.51,36.29,24.57,47.75,179.06,263.64,211.74,34.21,140.91,179.2836,0.15%
111,017102,大摩数字经济混合A,2026-04-27,3.5668,3.5668,1.52,3.28,31.08,32.07,45.66,178.83,250.3,244.68,39.5,256.68,180.5191,0.15%
112,010013,易方达信息行业精选股票A,2026-04-27,2.3066,2.3466,1.37,3.73,25.66,24.73,31.22,178.08,216.25,159.71,33.03,135.89,178.0122,0.15%
113,017103,大摩数字经济混合C,2026-04-27,3.5003,3.5003,1.52,3.27,31.02,31.88,45.22,177.16,246.15,238.52,39.23,250.03,178.8639,0.00%
114,013722,信澳景气优选混合C,2026-04-27,2.3269,2.3269,0.69,1.5,36.2,24.33,47.16,176.81,257.93,204.37,33.87,132.69,177.0449,0.00%
115,019024,易方达信息行业精选股票C,2026-04-27,2.2775,2.3175,1.37,3.72,25.6,24.57,30.89,176.67,213.02,,32.82,202.53,176.5993,0.00%
116,016372,信澳匠心严选一年持有混合A,2026-04-27,2.1377,2.1377,0.65,1.4,35.7,23.63,47.09,176.4,151.82,135.64,33.29,113.77,176.6533,0.15%
