code,name,nav_date,nav,acc_nav,day_change,week_change,month_change,three_month_change,six_month_change,year_change
022754,易方达科鑫量化选股股票发起式A,2026-04-27,2.0046,2.0046,0.34,1.63,11.13,11.72,38.56,102.69
022755,易方达科鑫量化选股股票发起式C,2026-04-27,1.994,1.994,0.34,1.63,11.1,11.61,38.3,101.92
006751,富国互联科技股票A,2026-04-27,5.7356,5.7356,1.64,5.27,26.85,33.27,38.04,168.52
011126,富国互联科技股票C,2026-04-27,5.5582,5.5582,1.64,5.26,26.8,33.07,37.63,166.9
000688,景顺长城研究精选股票A,2026-04-27,3.525,3.775,1.7,2.0,26.48,21.26,36.57,132.06
000866,华宝制造股票,2026-04-27,3.468,3.468,0.81,0.43,7.43,9.96,36.48,73.4
001396,建信互联网+产业升级股票,2026-04-27,1.905,1.905,1.87,4.79,26.66,20.95,36.17,98.02
018998,景顺长城研究精选股票C,2026-04-27,3.469,3.469,1.67,2.0,26.42,21.08,36.15,130.65
022327,宏利高端装备股票A,2026-04-27,1.7199,1.7199,0.01,1.61,4.76,2.67,35.76,72.89
340006,兴全全球视野股票,2026-04-27,4.0575,6.8035,1.07,3.39,15.32,12.86,35.67,87.87
022328,宏利高端装备股票C,2026-04-27,1.7114,1.7114,0.0,1.59,4.72,2.57,35.48,72.21
017488,嘉实信息产业股票发起式A,2026-04-27,3.333,3.333,0.99,3.6,31.55,35.68,35.04,143.96
014736,创金合信专精特新股票发起A,2026-04-27,2.2579,2.2579,4.61,4.5,18.39,8.36,34.69,91.32
017489,嘉实信息产业股票发起式C,2026-04-27,3.2673,3.2673,0.99,3.59,31.49,35.48,34.63,142.47
014737,创金合信专精特新股票发起C,2026-04-27,2.2105,2.2105,4.61,4.5,18.35,8.23,34.35,90.35
013242,华银优势行业股票,2026-04-27,1.8459,1.8459,2.1,2.61,22.71,20.38,34.34,132.6
002861,工银智能制造股票A,2026-04-27,3.274,3.274,0.34,0.99,18.84,9.98,34.24,115.39
005009,申万菱信行业轮动股票A,2026-04-27,2.867,2.867,0.22,-1.16,4.69,-5.5,34.14,91.93
005310,广发电子信息传媒股票A,2026-04-27,4.4164,4.4164,1.19,3.83,24.09,12.15,33.92,121.04
015157,申万菱信行业轮动股票C,2026-04-27,2.8139,2.8139,0.22,-1.17,4.65,-5.59,33.89,91.2
022710,工银智能制造股票C,2026-04-27,3.248,3.248,0.34,0.96,18.76,9.8,33.83,114.11
004640,华夏节能环保股票A,2026-04-27,2.7384,2.7384,0.76,2.71,14.16,7.61,33.7,77.16
010236,广发电子信息传媒股票C,2026-04-27,4.3242,4.3242,1.19,3.82,24.05,12.03,33.66,120.16
015060,华夏节能环保股票C,2026-04-27,2.6716,2.6716,0.76,2.7,14.1,7.46,33.31,76.1
021937,华安半导体产业股票发起式A,2026-04-27,2.0653,2.0653,2.98,4.2,24.22,14.52,33.03,113.71
010391,易方达战略新兴产业股票A,2026-04-27,2.2234,2.2934,2.69,5.22,27.01,28.0,32.79,172.9
011142,创金合信新材料新能源股票A,2026-04-27,1.4614,1.4614,1.92,3.28,16.55,12.29,32.75,80.04
021938,华安半导体产业股票发起式C,2026-04-27,2.0521,2.0521,2.98,4.19,24.17,14.39,32.7,112.48
010392,易方达战略新兴产业股票C,2026-04-27,2.1746,2.2446,2.69,5.22,26.96,27.88,32.53,171.79
011143,创金合信新材料新能源股票C,2026-04-27,1.4155,1.4155,1.92,3.27,16.49,12.12,32.35,78.97
519935,长信创新驱动股票,2026-04-27,3.043,3.043,1.26,2.11,18.08,18.36,31.67,159.2
000697,汇添富移动互联股票A,2026-04-27,3.571,3.571,2.0,4.84,28.31,23.52,31.63,143.92
015199,汇添富移动互联股票D,2026-04-27,3.513,3.513,2.0,4.83,28.26,23.39,31.38,142.95
015198,汇添富移动互联股票C,2026-04-27,3.486,3.486,2.02,4.84,28.26,23.35,31.25,142.42
010013,易方达信息行业精选股票A,2026-04-27,2.3066,2.3466,1.37,3.73,25.66,24.73,31.22,178.08
018194,建信新材料精选股票发起A,2026-04-27,2.5018,2.5018,0.79,4.37,7.49,12.09,30.91,84.76
019024,易方达信息行业精选股票C,2026-04-27,2.2775,2.3175,1.37,3.72,25.6,24.57,30.89,176.67
001048,富国新兴产业股票A,2026-04-27,5.2055,5.2055,1.65,5.73,31.41,26.22,30.86,123.99
018195,建信新材料精选股票发起C,2026-04-27,2.4727,2.4727,0.79,4.36,7.45,11.98,30.64,84.05
006081,海富通电子传媒股票A,2026-04-27,5.1144,5.1144,1.88,4.69,28.19,25.24,30.62,171.02
015686,富国新兴产业股票C,2026-04-27,5.0908,5.0908,1.64,5.72,31.34,26.03,30.47,122.6
005825,申万菱信智能驱动股票A,2026-04-27,6.3511,6.7935,4.28,6.4,19.26,8.94,30.41,141.06
005628,汇安趋势动力股票A,2026-04-27,1.8744,1.8744,6.07,6.63,14.92,7.33,30.33,79.78
015159,申万菱信智能驱动股票C,2026-04-27,6.2113,6.6678,4.27,6.39,19.22,8.83,30.15,140.1
006080,海富通电子传媒股票C,2026-04-27,4.7804,4.7804,1.88,4.67,28.11,24.99,30.11,168.85
005629,汇安趋势动力股票C,2026-04-27,1.796,1.796,6.07,6.62,14.87,7.2,30.01,78.88
320022,诺安研究精选股票A,2026-04-27,2.864,4.976,-0.9,-5.48,7.67,-11.39,29.95,66.03
025069,景顺长城高端装备股票,2026-04-27,1.2838,1.2838,1.08,-1.98,9.19,-4.77,29.9,0.0
002289,华商改革创新股票A,2026-04-27,3.904,3.904,4.74,6.22,17.8,4.84,29.86,87.71
001072,华安智能装备主题股票A,2026-04-27,4.459,4.512,0.81,1.69,16.76,9.69,29.62,104.35
001672,国寿安保智慧生活股票A,2026-04-27,2.444,3.251,1.58,0.74,13.46,9.45,29.59,78.52
016052,华商改革创新股票C,2026-04-27,3.7992,3.7992,4.74,6.21,17.74,4.68,29.47,86.58
019824,国寿安保新材料股票发起式A,2026-04-27,2.3345,2.3345,3.8,5.69,24.77,22.42,29.34,95.03
023101,国寿安保智慧生活股票C,2026-04-27,1.782,1.782,1.6,0.73,13.43,9.33,29.32,77.84
013622,华安智能装备主题股票C,2026-04-27,4.337,4.337,0.84,1.66,16.71,9.52,29.23,103.14
019825,国寿安保新材料股票发起式C,2026-04-27,2.3135,2.3135,3.8,5.67,24.71,22.27,29.01,94.05
005983,摩根核心精选股票A,2026-04-27,2.1203,2.1203,0.4,3.95,17.33,22.57,28.57,119.42
009491,宝盈创新驱动股票A,2026-04-27,2.3375,2.3375,0.69,2.68,25.88,25.31,28.57,145.18
001158,工银新材料新能源股票,2026-04-27,2.245,2.245,-0.53,0.49,5.0,6.8,28.51,85.38
020553,南方半导体产业股票发起A,2026-04-27,2.6745,2.6745,2.64,2.74,23.26,8.65,28.33,95.39
009492,宝盈创新驱动股票C,2026-04-27,2.2714,2.2714,0.69,2.67,25.83,25.16,28.25,143.95
014937,摩根核心精选股票C,2026-04-27,2.0678,2.0678,0.39,3.94,17.28,22.39,28.19,118.12
020554,南方半导体产业股票发起C,2026-04-27,2.6545,2.6545,2.63,2.74,23.22,8.55,28.11,94.77
009899,上银内需增长股票A,2026-04-27,1.2803,1.2803,-0.22,-1.62,15.21,10.78,27.6,62.52
001009,摩根安全战略股票A,2026-04-27,1.9938,2.2404,-0.35,2.46,22.38,20.57,27.26,100.6
015754,上银内需增长股票C,2026-04-27,1.2504,1.2504,-0.23,-1.64,15.15,10.62,27.23,61.55
015172,摩根安全战略股票C,2026-04-27,1.9526,1.9526,-0.36,2.44,22.33,20.43,26.94,99.59
164205,天弘文化新兴产业股票A,2026-04-27,3.7839,4.3999,1.34,5.04,25.13,13.46,26.87,53.15
000979,景顺长城沪港深精选股票A,2026-04-27,4.759,4.759,1.32,0.46,20.03,17.51,26.74,116.81
015475,天弘文化新兴产业股票C,2026-04-27,1.7221,1.7221,1.34,5.03,25.09,13.35,26.62,52.53
001070,建信信息产业股票A,2026-04-27,4.41,4.41,6.11,4.13,19.48,11.2,26.58,100.09
005268,鹏华优势企业,2026-04-27,2.3745,2.3745,0.85,3.32,19.5,19.73,26.47,47.49
021313,景顺长城沪港深精选股票C,2026-04-27,4.696,4.696,1.32,0.45,19.95,17.28,26.34,115.51
014863,建信信息产业股票C,2026-04-27,4.344,4.344,6.11,4.12,19.44,11.1,26.32,99.36
012445,华富新能源股票型发起式A,2026-04-27,1.3821,1.3821,-0.04,2.08,9.38,7.29,26.16,91.69
000513,富国高端制造行业股票A,2026-04-27,5.382,5.382,0.49,4.2,19.2,15.72,26.01,95.21
001126,摩根卓越制造股票A,2026-04-27,2.3057,2.4352,0.07,3.58,19.83,17.88,25.85,103.63
017967,华富新能源股票型发起式C,2026-04-27,1.3561,1.3561,-0.04,2.07,9.33,7.13,25.79,90.57
024377,易方达科智量化选股股票发起式A,2026-04-27,1.5804,1.5804,0.5,1.29,8.9,8.47,25.75,0.0
001039,嘉实先进制造股票,2026-04-27,2.637,2.637,1.85,3.82,13.76,13.18,25.69,80.99
000586,景顺长城中小创精选股票A,2026-04-27,3.472,4.044,0.81,2.81,16.35,15.12,25.66,77.41
014930,富国高端制造行业股票C,2026-04-27,5.251,5.251,0.48,4.19,19.12,15.56,25.62,94.05
001036,嘉实企业变革股票,2026-04-27,2.4,2.4,2.52,5.03,19.34,9.49,25.59,69.01
024378,易方达科智量化选股股票发起式C,2026-04-27,1.575,1.575,0.49,1.28,8.86,8.37,25.52,0.0
015075,摩根卓越制造股票C,2026-04-27,2.2509,2.2509,0.06,3.57,19.77,17.71,25.48,102.4
014341,摩根时代睿选股票A,2026-04-27,1.8964,1.8964,-0.36,2.33,21.07,18.34,25.36,95.3
018817,景顺长城中小创精选股票C,2026-04-27,3.423,3.648,0.82,2.82,16.35,14.98,25.34,76.35
014342,摩根时代睿选股票C,2026-04-27,1.869,1.869,-0.36,2.32,21.02,18.19,25.03,94.3
017073,嘉实清洁能源股票发起式A,2026-04-27,1.3655,1.3655,0.57,3.7,10.42,10.86,24.98,102.51
014416,泰康研究精选股票发起A,2026-04-27,1.6936,1.6936,1.04,1.2,18.71,12.18,24.97,117.27
011685,创金合信先进装备股票A,2026-04-27,1.7142,1.7142,-0.16,-1.69,2.86,-2.29,24.83,48.83
012696,同泰数字经济股票A,2026-04-27,1.5517,1.5517,2.82,5.66,23.71,13.0,24.81,157.89
012350,万家元贞量化选股股票A,2026-04-27,1.6171,1.6171,0.74,0.64,11.45,8.09,24.74,71.65
003984,嘉实新能源新材料股票A,2026-04-27,3.2982,3.2982,0.56,3.95,9.2,14.31,24.71,94.06
015904,广发新能源精选股票A,2026-04-27,1.3806,1.3806,-0.73,1.17,5.77,8.83,24.69,78.79
014417,泰康研究精选股票发起C,2026-04-27,1.6576,1.6576,1.04,1.19,18.66,12.05,24.66,116.17
000592,建信改革红利股票A,2026-04-27,6.106,6.106,0.2,1.24,11.42,-2.05,24.64,76.27
015145,同泰新能源1年持有股票A,2026-04-27,1.4828,1.4828,-0.84,-0.82,8.81,-0.54,24.61,81.58
017074,嘉实清洁能源股票发起式C,2026-04-27,1.3376,1.3376,0.56,3.68,10.36,10.7,24.61,101.32
012697,同泰数字经济股票C,2026-04-27,1.5225,1.5225,2.82,5.66,23.67,12.89,24.57,156.88
011686,创金合信先进装备股票C,2026-04-27,1.6688,1.6688,-0.16,-1.7,2.81,-2.41,24.52,48.09
012351,万家元贞量化选股股票C,2026-04-27,1.5922,1.5922,0.74,0.64,11.41,7.97,24.44,70.8
003985,嘉实新能源新材料股票C,2026-04-27,3.1725,3.1725,0.56,3.94,9.16,14.17,24.4,93.1
016269,建信改革红利股票C,2026-04-27,6.016,6.016,0.18,1.23,11.37,-2.15,24.37,75.5
015146,同泰新能源1年持有股票C,2026-04-27,1.4618,1.4618,-0.83,-0.82,8.78,-0.63,24.37,80.85
015905,广发新能源精选股票C,2026-04-27,1.3528,1.3528,-0.73,1.15,5.72,8.68,24.33,77.72
002980,华夏创新前沿股票A,2026-04-27,4.357,4.357,0.44,2.4,20.96,16.78,24.24,88.7
001042,华夏领先股票,2026-04-27,0.779,0.779,1.04,3.32,14.06,5.7,24.04,77.85
012496,同泰行业优选股票A,2026-04-27,0.6918,0.6918,1.17,-0.85,29.26,7.81,24.02,41.21
005161,华商上游产业股票A,2026-04-27,4.5575,4.5575,-0.69,-0.5,2.57,-4.78,23.99,92.22
025541,华夏创新前沿股票C,2026-04-27,4.348,4.348,0.44,2.4,20.91,16.69,23.98,0.0
014185,招商专精特新股票A,2026-04-27,1.4499,1.4499,2.11,2.58,14.94,5.94,23.94,55.79
007590,华宝绿色领先股票,2026-04-27,1.6889,1.6889,-2.05,0.23,6.51,22.46,23.93,50.32
012497,同泰行业优选股票C,2026-04-27,0.6789,0.6789,1.16,-0.86,29.22,7.69,23.77,40.65
004352,华银研究精选股票,2026-04-27,2.0818,2.0818,2.26,5.11,21.64,1.9,23.72,73.31
018023,华商上游产业股票C,2026-04-27,4.4729,4.4729,-0.69,-0.51,2.51,-4.92,23.62,91.07
014186,招商专精特新股票C,2026-04-27,1.3998,1.3998,2.09,2.56,14.86,5.73,23.45,54.54
019765,国寿安保优选国企股票发起式A,2026-04-27,1.8181,1.8181,3.4,5.74,19.12,4.0,23.34,66.22
013899,摩根全景优势股票A,2026-04-27,1.1816,1.1816,0.03,1.42,13.3,6.5,23.28,64.71
019766,国寿安保优选国企股票发起式C,2026-04-27,1.7962,1.7962,3.4,5.73,19.06,3.87,23.02,65.38
001482,摩根新兴服务股票A,2026-04-27,2.4098,2.4098,0.62,1.96,21.98,18.66,23.01,82.01
013900,摩根全景优势股票C,2026-04-27,1.1564,1.1564,0.03,1.4,13.24,6.36,22.96,63.87
003853,金鹰信息产业股票A,2026-04-27,4.6486,5.6071,2.63,2.97,26.17,14.53,22.85,83.55
001749,招商中国机遇股票A,2026-04-27,2.431,2.431,1.0,3.76,24.03,13.6,22.65,82.51
017177,摩根新兴服务股票C,2026-04-27,2.3613,2.3613,0.61,1.95,21.92,18.49,22.63,80.91
005885,金鹰信息产业股票C,2026-04-27,4.5469,5.4854,2.63,2.96,26.12,14.42,22.61,82.81
011377,创金合信积极成长股票A,2026-04-27,1.7551,1.7551,5.54,5.01,17.15,1.92,22.49,78.4
001313,摩根智慧互联股票A,2026-04-27,1.7764,1.7764,0.92,3.36,22.35,17.46,22.44,108.28
025660,招商中国机遇股票C,2026-04-27,2.424,2.424,0.96,3.72,23.93,13.43,22.3,0.0
011378,创金合信积极成长股票C,2026-04-27,1.7094,1.7094,5.54,5.01,17.09,1.79,22.16,77.47
016919,摩根智慧互联股票C,2026-04-27,1.7452,1.7452,0.91,3.35,22.29,17.31,22.13,107.22
024804,华夏量化选股股票A,2026-04-27,1.5975,1.5975,1.42,3.64,18.83,11.39,22.1,0.0
019879,万家周期驱动股票发起式A,2026-04-27,1.9565,1.9565,-1.24,-1.87,0.8,-4.61,21.95,78.81
000828,宏利转型机遇股票A,2026-04-27,5.559,5.779,2.89,4.02,19.63,15.55,21.75,145.65
024805,华夏量化选股股票C,2026-04-27,1.526,1.526,1.41,3.63,18.76,11.22,21.73,0.0
019880,万家周期驱动股票发起式C,2026-04-27,1.934,1.934,-1.24,-1.88,0.76,-4.73,21.67,77.95
000409,鹏华环保产业股票,2026-04-27,5.302,5.302,-0.17,2.85,9.79,18.61,21.58,90.86
012800,宏利转型机遇股票C,2026-04-27,5.48,5.48,2.87,4.0,19.57,15.47,21.56,144.97
017824,华安新材料主题股票发起式A,2026-04-27,1.9313,1.9313,-0.85,0.44,4.28,1.58,21.07,80.7
000524,摩根民生需求股票A,2026-04-27,3.1023,3.5413,0.79,2.35,22.07,16.44,21.05,76.99
023834,广发资源智选股票发起式A,2026-04-27,1.2654,1.2654,-0.31,-0.93,4.62,-9.64,20.94,0.0
011645,国泰核心价值两年持有期股票A,2026-04-27,1.1794,1.1794,0.26,-0.16,6.33,-1.53,20.84,55.31
023117,华安高端装备股票发起式A,2026-04-27,1.7856,1.7856,1.05,2.77,16.23,17.02,20.81,0.0
007133,嘉实长青竞争优势股票A,2026-04-27,1.2915,1.2915,2.29,2.35,17.27,4.19,20.78,66.69
017825,华安新材料主题股票发起式C,2026-04-27,1.9079,1.9079,-0.86,0.43,4.23,1.45,20.77,79.8
007674,工银产业升级股票A,2026-04-27,1.8595,1.8595,0.71,1.31,9.44,3.2,20.75,83.75
015408,景顺长城成长趋势股票A,2026-04-27,1.4404,1.4404,1.54,3.97,23.83,12.93,20.73,54.48
017099,摩根民生需求股票C,2026-04-27,3.0379,3.0379,0.79,2.34,22.01,16.27,20.69,75.94
010361,嘉实品质优选股票A,2026-04-27,0.9241,0.9241,2.4,4.98,25.3,15.25,20.64,101.55
023835,广发资源智选股票发起式C,2026-04-27,1.26,1.26,-0.31,-0.94,4.56,-9.79,20.56,0.0
011646,国泰核心价值两年持有期股票C,2026-04-27,1.1508,1.1508,0.25,-0.17,6.28,-1.65,20.53,54.51
007134,嘉实长青竞争优势股票C,2026-04-27,1.2445,1.2445,2.28,2.34,17.22,4.06,20.49,65.84
000996,中银新动力股票A,2026-04-27,1.084,1.084,0.46,0.93,5.96,-0.73,20.44,51.61
023118,华安高端装备股票发起式C,2026-04-27,1.778,1.778,1.05,2.76,16.18,16.87,20.41,0.0
000457,摩根核心成长股票A,2026-04-27,4.0922,4.4012,1.16,3.36,14.73,23.37,20.39,91.95
015409,景顺长城成长趋势股票C,2026-04-27,1.417,1.417,1.54,3.95,23.77,12.76,20.36,53.59
010362,嘉实品质优选股票C,2026-04-27,0.8973,0.8973,2.4,4.96,25.23,15.1,20.3,100.38
007675,工银产业升级股票C,2026-04-27,1.7757,1.7757,0.7,1.29,9.35,3.01,20.26,82.25
000751,嘉实新兴产业股票,2026-04-27,4.546,4.546,1.68,2.97,15.38,8.63,20.23,47.84
014453,中银新动力股票C,2026-04-27,1.064,1.064,0.57,0.95,5.98,-0.75,20.23,50.92
015170,摩根核心成长股票C,2026-04-27,4.0075,4.0075,1.16,3.35,14.69,23.23,20.09,91.02
011425,广发优势成长股票A,2026-04-27,0.6212,0.6212,-0.43,0.02,3.17,-5.59,19.85,59.53
002952,建信多因子量化股票,2026-04-27,1.7122,1.7122,1.08,1.6,12.08,4.72,19.8,28.67
020276,银河新材料股票发起式A,2026-04-27,1.6831,1.6831,-0.01,3.06,1.64,-8.6,19.8,65.76
001678,英大国企改革A,2026-04-27,2.558,3.208,1.9,3.5,18.05,4.92,19.75,73.55
020236,施罗德中国动力股票A,2026-04-27,1.8853,1.8853,0.32,1.09,9.22,3.43,19.71,69.16
000309,大摩品质生活精选股票A,2026-04-27,5.008,5.008,-0.34,1.27,8.54,5.72,19.69,59.95
022868,英大国企改革C,2026-04-27,2.5511,2.5511,1.89,3.5,18.02,4.86,19.61,73.13
