code,name,nav_date,nav,acc_nav,day_change,week_change,month_change,three_month_change,six_month_change,year_change
018230,易方达全球优质企业混合(QDII)C(人民币份额),2026-05-07,2.0784,2.0784,0.83,6.57,26.1,29.3,41.3,96.86
100055,富国全球科技互联网股票(QDII)A,2026-05-07,5.1654,5.1654,0.65,9.12,35.41,34.31,40.58,93.82
050015,博时大中华亚太精选,2026-05-07,1.474,1.556,2.01,7.51,20.82,26.52,40.38,73.62
022184,富国全球科技互联网股票(QDII)C,2026-05-07,5.1619,5.1619,0.65,8.94,35.12,33.9,40.12,92.9
006555,浦银安盛全球智能科技(QDII)A,2026-05-07,3.4918,3.4918,-1.69,5.88,26.94,29.53,39.79,86.46
014002,浦银安盛全球智能科技(QDII)C,2026-05-07,3.4215,3.4215,-1.7,5.87,26.9,29.4,39.51,85.65
501226,长城全球新能源车股票发起式(QDII)A,2026-05-07,2.6641,2.6641,-1.26,8.08,30.36,27.95,39.37,93.51
018036,长城全球新能源车股票发起式(QDII)C,2026-05-07,2.621,2.621,-1.26,8.02,30.24,27.69,38.85,92.2
040021,华安大中华升级股票(QDII)A,2026-05-07,3.214,3.214,1.9,5.97,22.95,23.66,38.18,84.08
016742,华安大中华升级股票(QDII)C,2026-05-07,2.622,2.622,1.9,5.94,22.87,23.5,37.93,83.23
164212,天弘全球新能源汽车股票(QDII-LOF)A,2026-05-07,2.1337,2.1337,-1.52,4.56,28.61,29.47,35.71,90.82
016823,天弘全球新能源汽车股票(QDII-LOF)C,2026-05-07,2.114,2.114,-1.52,4.38,28.35,29.11,35.24,89.7
002230,华夏大中华混合(QDII),2026-05-07,1.362,1.362,-0.8,5.83,29.22,35.52,32.36,33.79
270023,广发全球精选股票(QDII)人民币A,2026-05-07,6.1222,6.5612,0.25,5.75,22.03,24.49,28.57,62.52
017071,申万菱信全球新能源股票型发起式(QDII)A,2026-05-07,1.7599,1.7599,-2.88,1.73,22.62,22.21,28.48,67.56
017072,申万菱信全球新能源股票型发起式(QDII)C,2026-05-07,1.7508,1.7508,-2.87,1.71,22.59,22.12,28.31,67.14
021277,广发全球精选股票(QDII)人民币C,2026-05-07,6.0478,6.0478,0.25,5.71,21.95,24.26,28.14,61.44
160644,鹏华港美互联股票人民币,2026-05-07,1.9488,1.9528,-0.73,8.61,25.4,16.42,27.92,53.82
003243,摩根中国世纪混合(QDII)人民币,2026-05-07,2.4562,2.4562,0.92,3.71,26.43,26.0,26.19,88.16
017653,创金合信全球芯片产业股票发起(QDII)A,2026-05-08,2.2328,2.2328,1.46,6.44,20.67,16.28,25.02,59.91
040018,华安香港精选股票(QDII),2026-05-07,3.618,3.618,2.35,6.91,19.29,15.63,24.93,64.9
015884,中欧港股数字经济混合发起(QDII)A,2026-05-08,2.1064,2.1064,0.93,9.37,9.06,25.23,24.59,43.88
017654,创金合信全球芯片产业股票发起(QDII)C,2026-05-08,2.2008,2.2008,1.45,6.22,20.38,15.9,24.56,59.02
015885,中欧港股数字经济混合发起(QDII)C,2026-05-08,2.0411,2.0411,0.93,9.35,8.99,24.97,24.08,42.71
378546,摩根全球天然资源混合(QDII)A,2026-05-07,1.5259,1.5259,-0.95,-1.19,-2.17,3.75,23.69,49.86
019578,摩根全球天然资源混合(QDII)C,2026-05-07,1.5378,1.5378,-0.95,-1.2,-2.21,3.58,23.32,48.28
118001,易方达亚洲精选股票,2026-05-08,1.715,1.715,0.06,6.26,11.95,15.96,22.68,60.73
161815,银华抗通胀主题(QDII-FOF-LOF)A,2026-05-07,1.147,1.147,-0.43,-1.12,-2.88,5.52,22.28,37.04
021694,银华抗通胀主题(QDII-FOF-LOF)C,2026-05-07,1.138,1.138,-0.44,-1.13,-2.9,5.37,22.1,36.29
000934,国富大中华精选混合,2026-05-07,3.6,3.6,1.64,5.54,15.98,14.0,21.7,62.24
160216,国泰大宗商品(QDII-LOF)A,2026-05-07,0.746,0.746,0.13,1.08,-2.86,-1.19,20.91,32.98
025162,国泰大宗商品(QDII-LOF)D,2026-05-07,0.747,0.747,0.13,1.08,-2.86,-1.19,20.87,0.0
005534,华夏新时代混合人民币(QDII),2026-05-07,2.2805,2.2805,-0.25,6.78,20.79,6.53,20.69,78.41
519601,海富通中国海外混合,2026-05-07,2.2237,2.4937,1.83,5.01,11.53,13.42,20.6,47.26
378006,摩根全球新兴市场混合(QDII),2026-05-07,1.6942,1.7931,0.49,6.21,13.45,9.21,19.23,44.37
377016,摩根亚太优势混合(QDII)A,2026-05-07,1.3679,1.3679,1.7,7.49,14.64,11.18,15.75,34.28
019641,摩根亚太优势混合(QDII)C,2026-05-07,1.3467,1.3467,1.7,7.5,14.62,10.95,15.31,33.4
